auction,date,year,place,house,name,artwork,price,image,imageTitle,pageUrl,lot,eastimateNew,priceNumAlt,soldRef,soldAlt,currency2,category,style,provenance,exhibitionNew,price for convert,All currency USD
"Indian, Himalayan And Southeast Asian Works Of Art",18 MAR 2015,2015,"New York, Rockefeller Plaza",Christie's,A Gray Schist Figure Of A Seated Buddha,Gandhara 2nd/3rd Century,137000,http://www.christies.com/lotfinderimages/d58782/a_gray_schist_figure_of_a_seated_buddha_gandhara_2nd_3rd_century_d5878285j.jpg,Gandhara 2nd/3rd Century,http://www.christies.com/lotfinder/salebrowse.aspx?intsaleid=25279&viewType=list&num=60,Lot 4015,"Data unavailable, pls. refer Source.",,$137000,,,,,,,137000,USD
"Indian, Himalayan And Southeast Asian Works Of Art",18 MAR 2015,2015,"New York, Rockefeller Plaza",Christie's,A Bronze Figure Of A Female Deity,Western Tibet 12th Century,9375,http://www.christies.com/lotfinderimages/d58782/a_bronze_figure_of_a_female_deity_western_tibet_12th_century_d5878286j.jpg,Western Tibet 12th Century,http://www.christies.com/lotfinder/salebrowse.aspx?intsaleid=25279&viewType=list&num=60,Lot 4016,"Data unavailable, pls. refer Source.",,$9375,,,,,,,9375,USD
"Indian, Himalayan And Southeast Asian Works Of Art",18 MAR 2015,2015,"New York, Rockefeller Plaza",Christie's,An Important Gilt Bronze Figure Of Buddha,Nepal 13th Century,425000,http://www.christies.com/lotfinderimages/d58782/an_important_gilt_bronze_figure_of_buddha_nepal_13th_century_d5878288j.jpg,Nepal 13th Century,http://www.christies.com/lotfinder/salebrowse.aspx?intsaleid=25279&viewType=list&num=60,Lot 4018,"Data unavailable, pls. refer Source.",,$425000,,,,,,,425000,USD
"Indian, Himalayan And Southeast Asian Works Of Art",18 MAR 2015,2015,"New York, Rockefeller Plaza",Christie's,A Gilt Bronze Figure Of A Lama,Tibeto-chinese 16th/17th Century,37500,http://www.christies.com/lotfinderimages/d58782/a_gilt_bronze_figure_of_a_lama_tibeto-chinese_18th_century_d5878289j.jpg,Tibeto-chinese 16th/17th Century,http://www.christies.com/lotfinder/salebrowse.aspx?intsaleid=25279&viewType=list&num=60,Lot 4019,"Data unavailable, pls. refer Source.",,$37500,,,,,,,37500,USD
"Indian, Himalayan And Southeast Asian Works Of Art",18 MAR 2015,2015,"New York, Rockefeller Plaza",Christie's,A Gilt Bronze Figure Of Jambhala,Tibet 18th/19th Century,7500,http://www.christies.com/lotfinderimages/d58782/a_gilt_bronze_figure_of_jambhala_tibet_18th_19th_century_d5878290j.jpg,Tibet 18th/19th Century,http://www.christies.com/lotfinder/salebrowse.aspx?intsaleid=25279&viewType=list&num=60,Lot 4020,"Data unavailable, pls. refer Source.",,$7500,,,,,,,7500,USD
"Indian, Himalayan And Southeast Asian Works Of Art",18 MAR 2015,2015,"New York, Rockefeller Plaza",Christie's,A Pair Of Silver Dakinis,Tibet 13th Century,37500,http://www.christies.com/lotfinderimages/d58782/a_pair_of_silver_dakinis_tibet_13th_century_d5878291j.jpg,Tibet 13th Century,http://www.christies.com/lotfinder/salebrowse.aspx?intsaleid=25279&viewType=list&num=60,Lot 4021,"Data unavailable, pls. refer Source.",,$37500,,,,,,,37500,USD
"Indian, Himalayan And Southeast Asian Works Of Art",18 MAR 2015,2015,"New York, Rockefeller Plaza",Christie's,A Rare Silver Figure Of Palden Lhamo,Tibet 17th Century,197000,http://www.christies.com/lotfinderimages/d58782/a_rare_silver_figure_of_palden_lhamo_tibet_17th_century_d5878292j.jpg,Tibet 17th Century,http://www.christies.com/lotfinder/salebrowse.aspx?intsaleid=25279&viewType=list&num=60,Lot 4022,"Data unavailable, pls. refer Source.",,$197000,,,,,,,197000,USD
"Indian, Himalayan And Southeast Asian Works Of Art",18 MAR 2015,2015,"New York, Rockefeller Plaza",Christie's,An Exceptional Bronze Figure Of Vajrabhairava And Shakti,Tibet 18th Century,1085000,http://www.christies.com/lotfinderimages/d58782/an_exceptional_bronze_figure_of_vajrabhairava_and_shakti_tibet_18th_ce_d5878293j.jpg,Tibet 18th Century,http://www.christies.com/lotfinder/salebrowse.aspx?intsaleid=25279&viewType=list&num=60,Lot 4023,"Data unavailable, pls. refer Source.",,$1085000,,,,,,,1085000,USD
"Indian, Himalayan And Southeast Asian Works Of Art",18 MAR 2015,2015,"New York, Rockefeller Plaza",Christie's,A Painting Of An Eleven-faced Lokeshvara,Tibet 18th Century,112500,http://www.christies.com/lotfinderimages/d58782/a_painting_of_an_eleven-faced_lokeshvara_tibet_18th_century_d5878295j.jpg,Tibet 18th Century,http://www.christies.com/lotfinder/salebrowse.aspx?intsaleid=25279&viewType=list&num=60,Lot 4025,"Data unavailable, pls. refer Source.",,$112500,,,,,,,112500,USD
"Indian, Himalayan And Southeast Asian Works Of Art",18 MAR 2015,2015,"New York, Rockefeller Plaza",Christie's,A Painting Of Samantabhadra On An Elephant,Tibet 18th Century,8125,http://www.christies.com/lotfinderimages/d58782/a_painting_of_samantabhadra_on_an_elephant_tibet_18th_century_d5878296j.jpg,Tibet 18th Century,http://www.christies.com/lotfinder/salebrowse.aspx?intsaleid=25279&viewType=list&num=60,Lot 4026,"Data unavailable, pls. refer Source.",,$8125,,,,,,,8125,USD
"Indian, Himalayan And Southeast Asian Works Of Art",18 MAR 2015,2015,"New York, Rockefeller Plaza",Christie's,A Painting Of Sitatapatra,Tibet 18th Century,62500,http://www.christies.com/lotfinderimages/d58782/a_painting_of_sitatapatra_tibet_18th_century_d5878297j.jpg,Tibet 18th Century,http://www.christies.com/lotfinder/salebrowse.aspx?intsaleid=25279&viewType=list&num=60,Lot 4027,"Data unavailable, pls. refer Source.",,$62500,,,,,,,62500,USD
"Indian, Himalayan And Southeast Asian Works Of Art",18 MAR 2015,2015,"New York, Rockefeller Plaza",Christie's,An Important Painting Of A Chakrasamvara And Vajrayogini Sixty-two Deity Mandala,Tibet 15th Century,365000,http://www.christies.com/lotfinderimages/d58782/an_important_painting_of_a_chakrasamvara_and_vajrayogini_sixty-two_dei_d5878298j.jpg,Tibet 15th Century,http://www.christies.com/lotfinder/salebrowse.aspx?intsaleid=25279&viewType=list&num=60,Lot 4028,"Data unavailable, pls. refer Source.",,$365000,,,,,,,365000,USD
"Indian, Himalayan And Southeast Asian Works Of Art",18 MAR 2015,2015,"New York, Rockefeller Plaza",Christie's,A Painting Of Khedrub Gelag Pal Zangpo,Tibet 18th Century,20000,http://www.christies.com/lotfinderimages/d58783/a_painting_of_khedrub_gelag_pal_zangpo_tibet_18th_century_d5878300j.jpg,Tibet 18th Century,http://www.christies.com/lotfinder/salebrowse.aspx?intsaleid=25279&viewType=list&num=60,Lot 4030,"Data unavailable, pls. refer Source.",,$20000,,,,,,,20000,USD
"Indian, Himalayan And Southeast Asian Works Of Art",18 MAR 2015,2015,"New York, Rockefeller Plaza",Christie's,A Painting Of Angaja Ajita And Vanavasin,Tibeto-chinese 18th Century,245000,http://www.christies.com/lotfinderimages/d58783/a_painting_of_angaja_ajita_and_vanavasin_tibeto-chinese_18th_century_d5878301j.jpg,Tibeto-chinese 18th Century,http://www.christies.com/lotfinder/salebrowse.aspx?intsaleid=25279&viewType=list&num=60,Lot 4031,"Data unavailable, pls. refer Source.",,$245000,,,,,,,245000,USD
"Indian, Himalayan And Southeast Asian Works Of Art",18 MAR 2015,2015,"New York, Rockefeller Plaza",Christie's,A Painting Of Buddha Shakyamuni And The Sixteen Arhats,Tibet 18th Century,10000,http://www.christies.com/lotfinderimages/d58783/a_painting_of_buddha_shakyamuni_and_the_sixteen_arhats_tibet_18th_cent_d5878303j.jpg,Tibet 18th Century,http://www.christies.com/lotfinder/salebrowse.aspx?intsaleid=25279&viewType=list&num=60,Lot 4033,"Data unavailable, pls. refer Source.",,$10000,,,,,,,10000,USD
"Indian, Himalayan And Southeast Asian Works Of Art",18 MAR 2015,2015,"New York, Rockefeller Plaza",Christie's,A Painting Of Vadisimha Manjushri,Tibeto-chinese 17th/18th Century,7500,http://www.christies.com/lotfinderimages/d58783/a_painting_of_vadisimha_manjushri_tibeto-chinese_17th_18th_century_d5878306j.jpg,Tibeto-chinese 17th/18th Century,http://www.christies.com/lotfinder/salebrowse.aspx?intsaleid=25279&viewType=list&num=60,Lot 4036,"Data unavailable, pls. refer Source.",,$7500,,,,,,,7500,USD
"Indian, Himalayan And Southeast Asian Works Of Art",18 MAR 2015,2015,"New York, Rockefeller Plaza",Christie's,A Painting Of An Indian Scholar,Tibet 19th Century,52500,http://www.christies.com/lotfinderimages/d58783/a_painting_of_an_indian_scholar_tibet_19th_century_d5878308j.jpg,Tibet 19th Century,http://www.christies.com/lotfinder/salebrowse.aspx?intsaleid=25279&viewType=list&num=60,Lot 4038,"Data unavailable, pls. refer Source.",,$52500,,,,,,,52500,USD
"Indian, Himalayan And Southeast Asian Works Of Art",18 MAR 2015,2015,"New York, Rockefeller Plaza",Christie's,A Painting Of Chakrasamvara And Vajravarahi,Tibet 18th/19th Century,47500,http://www.christies.com/lotfinderimages/d58783/a_painting_of_chakrasamvara_and_vajravarahi_tibet_18th_19th_century_d5878309j.jpg,Tibet 18th/19th Century,http://www.christies.com/lotfinder/salebrowse.aspx?intsaleid=25279&viewType=list&num=60,Lot 4039,"Data unavailable, pls. refer Source.",,$47500,,,,,,,47500,USD
"Indian, Himalayan And Southeast Asian Works Of Art",18 MAR 2015,2015,"New York, Rockefeller Plaza",Christie's,A Painting Of Heruka And Vajravarahi,Tibet 18th Century,47500,http://www.christies.com/lotfinderimages/d58783/a_painting_of_heruka_and_vajravarahi_tibet_18th_century_d5878310j.jpg,Tibet 18th Century,http://www.christies.com/lotfinder/salebrowse.aspx?intsaleid=25279&viewType=list&num=60,Lot 4040,"Data unavailable, pls. refer Source.",,$47500,,,,,,,47500,USD
"Indian, Himalayan And Southeast Asian Works Of Art",18 MAR 2015,2015,"New York, Rockefeller Plaza",Christie's,A Painting Of White Mahakala,Tibet 19th Century,10625,http://www.christies.com/lotfinderimages/d58783/a_painting_of_white_mahakala_tibet_19th_century_d5878311j.jpg,Tibet 19th Century,http://www.christies.com/lotfinder/salebrowse.aspx?intsaleid=25279&viewType=list&num=60,Lot 4041,"Data unavailable, pls. refer Source.",,$10625,,,,,,,10625,USD
"Indian, Himalayan And Southeast Asian Works Of Art",18 MAR 2015,2015,"New York, Rockefeller Plaza",Christie's,A Painting Of Kalachakra And Vishvamata,Tibeto-chinese 18th Century,20000,http://www.christies.com/lotfinderimages/d58783/a_painting_of_kalachakra_and_vishvamata_tibeto-chinese_18th_century_d5878312j.jpg,Tibeto-chinese 18th Century,http://www.christies.com/lotfinder/salebrowse.aspx?intsaleid=25279&viewType=list&num=60,Lot 4042,"Data unavailable, pls. refer Source.",,$20000,,,,,,,20000,USD
"Indian, Himalayan And Southeast Asian Works Of Art",18 MAR 2015,2015,"New York, Rockefeller Plaza",Christie's,A Sandstone Head Of A Jina,India Post Gupta 9th Century,17500,http://www.christies.com/lotfinderimages/d58783/a_sandstone_head_of_a_jina_india_post_gupta_9th_century_d5878313j.jpg,India Post Gupta 9th Century,http://www.christies.com/lotfinder/salebrowse.aspx?intsaleid=25279&viewType=list&num=60,Lot 4043,"Data unavailable, pls. refer Source.",,$17500,,,,,,,17500,USD
"Indian, Himalayan And Southeast Asian Works Of Art",18 MAR 2015,2015,"New York, Rockefeller Plaza",Christie's,A Buff Sandstone Double-sided Figure Of Yakshis,India Mathura Kushan Period 1st Century Ad,50000,http://www.christies.com/lotfinderimages/d58783/a_buff_sandstone_double-sided_figure_of_yakshis_india_mathura_kushan_p_d5878315j.jpg,India Mathura Kushan Period 1st Century Ad,http://www.christies.com/lotfinder/salebrowse.aspx?intsaleid=25279&viewType=list&num=60,Lot 4045,"Data unavailable, pls. refer Source.",,$50000,,,,,,,50000,USD
"Indian, Himalayan And Southeast Asian Works Of Art",18 MAR 2015,2015,"New York, Rockefeller Plaza",Christie's,A Black Stone Relief Of A Crouching Gana,Nepal Circa 8th Century,6875,http://www.christies.com/lotfinderimages/d58783/a_black_stone_relief_of_a_crouching_gana_nepal_circa_8th_century_d5878316j.jpg,Nepal Circa 8th Century,http://www.christies.com/lotfinder/salebrowse.aspx?intsaleid=25279&viewType=list&num=60,Lot 4046,"Data unavailable, pls. refer Source.",,$6875,,,,,,,6875,USD
"Indian, Himalayan And Southeast Asian Works Of Art",18 MAR 2015,2015,"New York, Rockefeller Plaza",Christie's,A Bronze Figure Of Four Deities,Northeastern India Pala Period 12th Century,43750,http://www.christies.com/lotfinderimages/d58783/a_bronze_figure_of_four_deities_northeastern_india_pala_period_12th_ce_d5878318j.jpg,Northeastern India Pala Period 12th Century,http://www.christies.com/lotfinder/salebrowse.aspx?intsaleid=25279&viewType=list&num=60,Lot 4048,"Data unavailable, pls. refer Source.",,$43750,,,,,,,43750,USD
"Indian, Himalayan And Southeast Asian Works Of Art",18 MAR 2015,2015,"New York, Rockefeller Plaza",Christie's,A Stone Stele Depicting Vairocana,Northeastern India Pala Period 11th/12th Century,32500,http://www.christies.com/lotfinderimages/d58783/a_stone_stele_depicting_vairocana_northeastern_india_pala_period_11th_d5878319j.jpg,Northeastern India Pala Period 11th/12th Century,http://www.christies.com/lotfinder/salebrowse.aspx?intsaleid=25279&viewType=list&num=60,Lot 4049,"Data unavailable, pls. refer Source.",,$32500,,,,,,,32500,USD
"Indian, Himalayan And Southeast Asian Works Of Art",18 MAR 2015,2015,"New York, Rockefeller Plaza",Christie's,A Large Stone Figure Of Vishnu,India Karnataka Hoysala Period 12th/13th Century,75000,http://www.christies.com/lotfinderimages/d58783/a_large_stone_figure_of_vishnu_india_karnataka_hoysala_period_12th_13t_d5878320j.jpg,India Karnataka Hoysala Period 12th/13th Century,http://www.christies.com/lotfinder/salebrowse.aspx?intsaleid=25279&viewType=list&num=60,Lot 4050,"Data unavailable, pls. refer Source.",,$75000,,,,,,,75000,USD
"Indian, Himalayan And Southeast Asian Works Of Art",18 MAR 2015,2015,"New York, Rockefeller Plaza",Christie's,Two Illustrations From The Ramayana,India Malwa Late 17th Century,17500,http://www.christies.com/lotfinderimages/d58783/two_illustrations_from_the_ramayana_india_malwa_late_17th_century_d5878321j.jpg,India Malwa Late 17th Century,http://www.christies.com/lotfinder/salebrowse.aspx?intsaleid=25279&viewType=list&num=60,Lot 4051,"Data unavailable, pls. refer Source.",,$17500,,,,,,,17500,USD
"Indian, Himalayan And Southeast Asian Works Of Art",18 MAR 2015,2015,"New York, Rockefeller Plaza",Christie's,Two Illustrations From The Ramayana,India Malwa Late 17th Century,16250,http://www.christies.com/lotfinderimages/d58783/two_illustrations_from_the_ramayana_india_malwa_late_17th_century_d5878322j.jpg,India Malwa Late 17th Century,http://www.christies.com/lotfinder/salebrowse.aspx?intsaleid=25279&viewType=list&num=60,Lot 4052,"Data unavailable, pls. refer Source.",,$16250,,,,,,,16250,USD
"Indian, Himalayan And Southeast Asian Works Of Art",18 MAR 2015,2015,"New York, Rockefeller Plaza",Christie's,Two Illustrations From The Ramayana,India Malwa Late 17th Century,10000,http://www.christies.com/lotfinderimages/d58783/two_illustrations_from_the_ramayana_india_malwa_late_17th_century_d5878323j.jpg,India Malwa Late 17th Century,http://www.christies.com/lotfinder/salebrowse.aspx?intsaleid=25279&viewType=list&num=60,Lot 4053,"Data unavailable, pls. refer Source.",,$10000,,,,,,,10000,USD
"Indian, Himalayan And Southeast Asian Works Of Art",18 MAR 2015,2015,"New York, Rockefeller Plaza",Christie's,Two Illustrations From The Ramayana,India Malwa Late 17th Century,15000,http://www.christies.com/lotfinderimages/d58783/two_illustrations_from_the_ramayana_india_malwa_late_17th_century_d5878324j.jpg,India Malwa Late 17th Century,http://www.christies.com/lotfinder/salebrowse.aspx?intsaleid=25279&viewType=list&num=60,Lot 4054,"Data unavailable, pls. refer Source.",,$15000,,,,,,,15000,USD
"Indian, Himalayan And Southeast Asian Works Of Art",18 MAR 2015,2015,"New York, Rockefeller Plaza",Christie's,An Unusual Silver Figure Of An Attendant,India Or Indonesia Circa 18th Century,3750,http://www.christies.com/lotfinderimages/d58783/an_unusual_silver_figure_of_an_attendant_india_or_indonesia_circa_18th_d5878326j.jpg,India Or Indonesia Circa 18th Century,http://www.christies.com/lotfinder/salebrowse.aspx?intsaleid=25279&viewType=list&num=60,Lot 4056,"Data unavailable, pls. refer Source.",,$3750,,,,,,,3750,USD
"Indian, Himalayan And Southeast Asian Works Of Art",18 MAR 2015,2015,"New York, Rockefeller Plaza",Christie's,A Sandstone Torso Of Vishnu,Khmer Angkor Borei Period 8th/9th Century,100000,http://www.christies.com/lotfinderimages/d58783/a_sandstone_torso_of_vishnu_khmer_angkor_borei_period_8th_9th_century_d5878328j.jpg,Khmer Angkor Borei Period 8th/9th Century,http://www.christies.com/lotfinder/salebrowse.aspx?intsaleid=25279&viewType=list&num=60,Lot 4058,"Data unavailable, pls. refer Source.",,$100000,,,,,,,100000,USD
"Indian, Himalayan And Southeast Asian Works Of Art",18 MAR 2015,2015,"New York, Rockefeller Plaza",Christie's,A Red Sandstone Figure Of A Male Deity,Khmer Angkor Period Angkor Wat Style 12th Century,20000,http://www.christies.com/lotfinderimages/d58783/a_red_sandstone_figure_of_a_male_deity_khmer_angkor_period_angkor_wat_d5878330j.jpg,Khmer Angkor Period Angkor Wat Style 12th Century,http://www.christies.com/lotfinder/salebrowse.aspx?intsaleid=25279&viewType=list&num=60,Lot 4060,"Data unavailable, pls. refer Source.",,$20000,,,,,,,20000,USD
"The Collection Of Robert Hatfield Ellsworth Part I - Masterworks Including Indian, Himalayan And Southeast Asian Works Of Art, Chinese And Japanese Works Of Art",17 MAR 2015,2015,"New York, Rockefeller Plaza",Christie's,A Superb Gilt-bronze Figure Of A Seated Bear,China Western Han Dynasty (206 Bc-ad 8),2853000,http://www.christies.com/lotfinderimages/d58759/a_superb_gilt-bronze_figure_of_a_seated_bear_china_western_han_dynasty_d5875957j.jpg,China Western Han Dynasty (206 Bc-ad 8),http://www.christies.com/lotfinder/salebrowse.aspx?intsaleid=25850&viewType=list&num=60,Lot 1,"Data unavailable, pls. refer Source.",,$2853000,,,,,,,2853000,USD
"The Collection Of Robert Hatfield Ellsworth Part I - Masterworks Including Indian, Himalayan And Southeast Asian Works Of Art, Chinese And Japanese Works Of Art",17 MAR 2015,2015,"New York, Rockefeller Plaza",Christie's,A Large Yellow 'wax Stone' Boulder,,245000,http://www.christies.com/lotfinderimages/d58759/a_large_yellow_wax_stone_boulder_d5875958j.jpg,,http://www.christies.com/lotfinder/salebrowse.aspx?intsaleid=25850&viewType=list&num=60,Lot 2,"Data unavailable, pls. refer Source.",,$245000,,,,,,,245000,USD
"The Collection Of Robert Hatfield Ellsworth Part I - Masterworks Including Indian, Himalayan And Southeast Asian Works Of Art, Chinese And Japanese Works Of Art",17 MAR 2015,2015,"New York, Rockefeller Plaza",Christie's,A Rare Large Bluish Olive-green Jade Ge Dagger-axe,China Late Shang Dynasty 11th Century Bc,233000,http://www.christies.com/lotfinderimages/d58759/a_rare_large_bluish_olive-green_jade_ge_dagger-axe_china_late_shang_dy_d5875959j.jpg,China Late Shang Dynasty 11th Century Bc,http://www.christies.com/lotfinder/salebrowse.aspx?intsaleid=25850&viewType=list&num=60,Lot 3,"Data unavailable, pls. refer Source.",,$233000,,,,,,,233000,USD
"The Collection Of Robert Hatfield Ellsworth Part I - Masterworks Including Indian, Himalayan And Southeast Asian Works Of Art, Chinese And Japanese Works Of Art",17 MAR 2015,2015,"New York, Rockefeller Plaza",Christie's,A Very Rare White Jade Arc-shaped Pendant Huang,China Late Eastern Zhou Dynasty 5th-4th Century Bc,197000,http://www.christies.com/lotfinderimages/d58759/a_very_rare_white_jade_arc-shaped_pendant_huang_china_late_eastern_zho_d5875960j.jpg,China Late Eastern Zhou Dynasty 5th-4th Century Bc,http://www.christies.com/lotfinder/salebrowse.aspx?intsaleid=25850&viewType=list&num=60,Lot 4,"Data unavailable, pls. refer Source.",,$197000,,,,,,,197000,USD
"The Collection Of Robert Hatfield Ellsworth Part I - Masterworks Including Indian, Himalayan And Southeast Asian Works Of Art, Chinese And Japanese Works Of Art",17 MAR 2015,2015,"New York, Rockefeller Plaza",Christie's,A Rare Small Bronze Phoenix-form Ewer,China Late Western-early Eastern Zhou Dynasty 8th-7th Century Bc,665000,http://www.christies.com/lotfinderimages/d58759/a_rare_small_bronze_phoenix-form_ewer_china_late_western-early_eastern_d5875961j.jpg,China Late Western-early Eastern Zhou Dynasty 8th-7th Century Bc,http://www.christies.com/lotfinder/salebrowse.aspx?intsaleid=25850&viewType=list&num=60,Lot 5,"Data unavailable, pls. refer Source.",,$665000,,,,,,,665000,USD
"The Collection Of Robert Hatfield Ellsworth Part I - Masterworks Including Indian, Himalayan And Southeast Asian Works Of Art, Chinese And Japanese Works Of Art",17 MAR 2015,2015,"New York, Rockefeller Plaza",Christie's,A Rare Large Bronze Ritual Tripod Food Vessel Ding,China Late Shang-early Western Zhou Dynasty 12th-11th Century Bc,389000,http://www.christies.com/lotfinderimages/d58759/a_rare_large_bronze_ritual_tripod_food_vessel_ding_china_late_shang-ea_d5875962j.jpg,China Late Shang-early Western Zhou Dynasty 12th-11th Century Bc,http://www.christies.com/lotfinder/salebrowse.aspx?intsaleid=25850&viewType=list&num=60,Lot 6,"Data unavailable, pls. refer Source.",,$389000,,,,,,,389000,USD
